2theta(degrees) intensity(a.u.)
6.600000 16.672285
8.200000 28.600594
9.800000 33.211979
11.400000 32.995300
13.000000 29.795252
14.600000 30.126738
16.200000 28.934803
17.800000 27.478626
19.400000 27.179108
21.000000 29.687864
22.600000 28.217674
24.200000 28.641727
25.187229 29.254236
25.391173 29.811844
25.655218 31.898220
25.774298 34.605152
25.783302 33.137062
25.867265 30.883978
27.400000 28.767525
29.000000 27.436735
30.600000 28.885111
32.200000 28.242805
33.800000 30.272532
35.400000 28.411722
36.828877 28.151573
37.132991 28.141970
37.514765 29.036375
38.043982 29.131943
38.298123 30.426735
38.797627 28.873894
39.178501 27.816862
40.200000 26.755749
41.800000 27.873331
43.400000 27.839970
45.000000 28.014950
46.600000 27.733606
47.598701 26.555626
48.243395 27.029552
48.675818 29.150946
49.800000 27.435982
51.400000 28.131216
53.000000 26.635347
53.867367 26.138090
53.997251 28.526373
54.600000 29.764376
55.170487 29.888195
56.200000 30.027847
57.800000 27.497332
59.400000 27.061306
61.000000 26.948448
61.894086 26.390211
62.191897 27.371986
62.679245 26.621235
62.702656 27.042957
63.265413 28.118748
64.200000 26.994194
65.800000 26.123350
67.400000 25.805914
68.553081 24.470219
68.757924 25.987665
69.238069 26.979210
70.119347 26.880312
70.324190 27.115589
70.804335 26.442318
72.200000 25.732080
73.800000 25.994474
74.722026 25.423590
75.129913 25.537174
75.700774 26.788540
76.095604 27.137140
77.000000 26.339172
78.600000 24.890175
80.200000 22.702829
81.800000 23.421698
82.757300 29.520153
83.400000 43.465416
