snr_before,snr_after,snr_improvement,psnr,mse,mae,ssim
17.787853,12.340432,-5.447421,16.02516,0.024973758,0.1513063,0.936001208325271
14.832082,9.144045,-5.688037,12.760821,0.052956324,0.19709726,0.7970617830396077
15.790986,7.555523,-8.235463,12.396027,0.057596657,0.2330531,0.7507219958586556
-2.6899743,7.0356584,9.725633,21.08962,0.0077810455,0.069497846,0.6708068944980411
0.026493045,4.0393167,4.0128236,21.779787,0.006637755,0.053334594,0.31178791353888363
-0.13784677,7.7336445,7.8714914,20.666363,0.008577556,0.0770648,0.7832152278432093
8.187847,12.986214,4.7983665,22.2731,0.005925025,0.058621086,0.8803893466192872
-0.28355715,6.039645,6.323202,20.043982,0.009899242,0.08008412,0.6599513934402936
3.2499924,8.907448,5.6574554,24.319653,0.003698577,0.03618717,0.8055802286077187
4.39798,6.3420873,1.944107,24.780617,0.0033261224,0.035375573,0.7190095312532152
-4.6614704,6.1856623,10.847133,25.090532,0.003097039,0.04197868,0.7356268561312059
-9.391937,1.5611321,10.95307,23.254576,0.0047265305,0.047463432,0.24554306795354666
7.5124145,9.845693,2.3332782,17.54298,0.017607674,0.118829474,0.8119652568456202
4.853261,7.204208,2.350947,17.749104,0.01679151,0.10231175,0.7450599781232019
-2.2742472,3.4155931,5.6898403,20.160702,0.009636736,0.07020836,0.36832780976555063
-2.5587928,9.333371,11.892164,24.572832,0.003489126,0.045151383,0.8289109910581759
-6.00305,6.29209,12.295139,27.052114,0.001971463,0.029684266,0.7904372029808493
-5.4638743,6.2677956,11.73167,21.466524,0.007134236,0.06661811,0.6828207155452786
-5.7736654,3.7327366,9.506402,24.248531,0.003759645,0.030806229,0.4602668574085959
0.9763516,4.2128663,3.2365146,18.83282,0.01308332,0.091843925,0.4440231481704647
-5.253063,5.786766,11.039829,25.26709,0.0029736576,0.032264695,0.6619398672066994
-0.092397965,7.746233,7.838631,23.40602,0.004564551,0.046641055,0.7736314032051359
-1.0441116,7.1953897,8.239501,25.211401,0.0030120348,0.039939303,0.7428396355716698
-10.896281,1.5657461,12.462028,22.904324,0.0051235086,0.059150066,0.4549962174049207
-2.7914176,3.814742,6.6061597,20.95515,0.008025737,0.065229446,0.3900665596496375
-4.1321716,5.6264715,9.758643,26.481869,0.0022480863,0.03496124,0.7355584608654361
2.7512383,10.012103,7.2608647,22.317009,0.005865419,0.064323805,0.8997835388784897
0.2028761,6.7428017,6.5399256,21.588161,0.0069371946,0.05827852,0.716096344224322
-0.6244224,3.891871,4.5162935,23.319714,0.0046561672,0.04323047,0.5508697558461767
1.528427,12.22933,10.700903,25.373327,0.002901798,0.041438166,0.9236389560491653
-7.1669493,5.968108,13.135057,27.100622,0.0019495646,0.03477491,0.769244299072386
-6.468942,2.7151809,9.184123,24.01148,0.003970561,0.03676546,0.38111141805320525
-8.471074,3.6738405,12.144915,23.560986,0.004404547,0.047913555,0.6113621029557836
0.0930278,10.668356,10.575328,25.44959,0.0028512862,0.03735526,0.8847963567556321
-1.4999774,9.693374,11.193351,28.239918,0.0014997135,0.030379092,0.8868120491855168
0.27475905,9.3091,9.034341,26.163345,0.002419166,0.033316176,0.8471652006148815
-10.724817,5.0647745,15.789592,28.102179,0.0015480398,0.03176132,0.7379951463296663
2.4019227,8.118795,5.7168727,24.101543,0.0038890694,0.040676557,0.7823320239326413
