snr_before,snr_after,snr_improvement,psnr,mse,mae,ssim
17.787853,12.988148,-4.7997055,16.672876,0.021513568,0.13748808,0.9375022541960523
14.832082,9.314615,-5.5174665,12.931393,0.05091676,0.1900147,0.8035630259003068
15.790986,7.8281307,-7.9628553,12.668634,0.054092437,0.22458291,0.7500700821485109
-2.6899743,7.1721296,9.862104,21.226091,0.0075403377,0.06971458,0.6811022944608313
0.026493045,3.9812307,3.9547377,21.721703,0.006727129,0.054556195,0.32107845655260175
-0.13784677,7.420784,7.558631,20.353506,0.009218273,0.08136028,0.778861347326636
8.187847,13.541195,5.353348,22.828081,0.0052142516,0.05214022,0.8853592040647249
-0.28355715,6.157716,6.4412727,20.16205,0.00963374,0.07940548,0.6738717181955263
3.2499924,9.123135,5.8731422,24.53534,0.003519379,0.0353421,0.8181405804156334
4.39798,6.243415,1.8454347,24.681946,0.003402558,0.034574684,0.7097618576140904
-4.6614704,6.727433,11.388904,25.632303,0.002733818,0.040063456,0.7730165591707453
-9.391937,1.4784254,10.870362,23.171867,0.0048174043,0.047352664,0.22244909489493722
7.5124145,10.414883,2.9024682,18.112171,0.015444821,0.11115522,0.8361275429286249
4.853261,7.3950124,2.5417514,17.939907,0.016069757,0.09951644,0.7584906061953963
-2.2742472,3.4040809,5.678328,20.149189,0.009662314,0.07089454,0.3703620874530371
-2.5587928,9.3817625,11.940556,24.621223,0.0034504642,0.044912815,0.8341722750521597
-6.00305,6.731713,12.734762,27.491737,0.0017816664,0.026629882,0.812319202534007
-5.4638743,6.045899,11.509773,21.244629,0.007508223,0.06920316,0.6805126949874909
-5.7736654,3.712222,9.485888,24.228018,0.0037774465,0.029541427,0.4576985368614889
0.9763516,4.21769,3.2413383,18.837645,0.013068795,0.091734335,0.45460520363852497
-5.253063,6.0246983,11.277761,25.505024,0.0028151253,0.031880323,0.6817532254937836
-0.092397965,8.236626,8.329023,23.896412,0.00407717,0.043560307,0.8038630234230781
-1.0441116,7.6616583,8.70577,25.67767,0.00270541,0.037270527,0.7723291664474534
-10.896281,1.5457478,12.442029,22.884327,0.005147156,0.059392083,0.4579408638414799
-2.7914176,3.8706067,6.6620245,21.011017,0.00792316,0.06457794,0.40524121593645823
-4.1321716,6.1726837,10.304855,27.028082,0.001982402,0.031373803,0.7655032476969112
2.7512383,10.368473,7.6172347,22.67338,0.0054033366,0.06391606,0.9115058179163363
0.2028761,6.9853854,6.7825093,21.830746,0.0065603275,0.056645177,0.7374263113514439
-0.6244224,4.21754,4.8419623,23.645384,0.0043197805,0.03897784,0.588463034591888
1.528427,12.269411,10.740984,25.41341,0.0028751404,0.040701717,0.9260103241921599
-7.1669493,6.1467977,13.313747,27.279312,0.0018709782,0.034141675,0.7809463925587157
-6.468942,2.9196033,9.388546,24.215904,0.0037879972,0.03483697,0.4055702882812007
-8.471074,3.6305618,12.101636,23.517708,0.004448659,0.048175517,0.6125199134543564
0.0930278,11.100627,11.007599,25.881863,0.0025811533,0.034903534,0.8970934671099122
