snr_before,snr_after,snr_improvement,psnr,mse,mae,ssim
17.787853,14.802097,-2.985756,18.486826,0.014168292,0.11206674,0.9538673001647996
14.832082,11.163993,-3.668089,14.780769,0.033260062,0.16457838,0.868684425630144
15.790986,9.235823,-6.5551634,14.076327,0.03911716,0.19297907,0.8402883680441116
-2.6899743,6.7552857,9.44526,20.809248,0.008299945,0.07752928,0.7543664848084369
0.026493045,5.836972,5.810479,23.577444,0.004387889,0.03835038,0.47177291428813006
-0.13784677,5.359255,5.497102,18.291975,0.014818438,0.11143575,0.7814460307705916
8.187847,17.419634,9.231787,26.706516,0.002134756,0.032211978,0.9329468974823442
-0.28355715,7.990122,8.273679,21.994457,0.006317632,0.0657255,0.7971359547531921
3.2499924,11.999245,8.749252,27.41145,0.0018149099,0.033347234,0.912893271600062
4.39798,9.6965685,5.2985883,28.1351,0.0015363499,0.02469691,0.8822595792843927
-4.6614704,4.481147,9.142617,23.386019,0.0045856214,0.06130068,0.7518371892909771
-9.391937,-0.34608567,9.045852,21.347359,0.0073327054,0.0638603,0.14591343518494482
7.5124145,16.903906,9.391491,24.601194,0.0034664155,0.044725556,0.9097486332471857
4.853261,11.23816,6.384899,21.783056,0.006632763,0.06406021,0.8934004220065909
-2.2742472,4.258831,6.533078,21.003937,0.007936082,0.067791924,0.4704897256533661
-2.5587928,7.8643456,10.423139,23.103807,0.0048934957,0.054008044,0.8186882503751992
-6.00305,7.011309,13.0143585,27.771332,0.0016705779,0.03347167,0.8263693296178507
-5.4638743,1.1061137,6.5699883,16.304844,0.02341616,0.14408731,0.5963872741185202
-5.7736654,4.696356,10.470021,25.212152,0.0030115142,0.03339816,0.5834307306676505
0.9763516,6.2687397,5.292388,20.888693,0.0081494935,0.06286201,0.6026969640543614
-5.253063,3.5115995,8.764663,22.991924,0.0050212005,0.062534325,0.6620594271151267
-0.092397965,10.511588,10.603986,26.171375,0.0024146966,0.03782283,0.8969279487927203
-1.0441116,6.5512805,7.595392,24.567291,0.0034935814,0.052941,0.7872229250958764
-10.896281,-2.1183858,8.777895,19.220194,0.011966873,0.09937757,0.32057247328386473
-2.7914176,5.9612627,8.75268,23.101671,0.0048959036,0.05618852,0.6179131379789579
-4.1321716,4.3818088,8.513981,25.237207,0.0029941895,0.05085132,0.7489523908349462
2.7512383,9.839658,7.0884194,22.144564,0.006103003,0.06814473,0.8994240241324624
0.2028761,7.478602,7.275726,22.323961,0.005856037,0.060397662,0.8016790049254552
-0.6244224,5.785844,6.4102664,25.213688,0.003010449,0.040374104,0.7556886904787603
1.528427,11.284946,9.756519,24.428944,0.0036066636,0.051266637,0.9282231820008738
-7.1669493,2.1942167,9.361166,23.326733,0.004648649,0.062772185,0.6534840791767417
-6.468942,2.9202297,9.389172,24.21653,0.003787451,0.040432803,0.4470357469746792
-8.471074,0.07000565,8.5410795,19.957153,0.010099148,0.082907654,0.4748701877259202
0.0930278,10.384893,10.291865,25.16613,0.0030435964,0.04806213,0.9086081364496793
-1.4999774,6.813433,8.313411,25.359976,0.0029107325,0.048899047,0.8376117124424755
0.27475905,8.782907,8.508147,25.63715,0.002730769,0.047456637,0.873766829257584
-10.724817,1.7107623,12.435579,24.748165,0.003351069,0.05184387,0.6427354702158156
2.4019227,10.135904,7.7339816,26.118652,0.0024441888,0.03860664,0.8849075909466368
5.091771,13.49966,8.407888,25.047848,0.003127629,0.04701058,0.9431898965009244
-2.5499206,7.3617,9.911621,24.026205,0.003957123,0.04540507,0.7711971328369521
-1.443459,6.1355915,7.5790505,21.057758,0.007838341,0.064353414,0.7289550571808441
-6.1558733,1.5211847,7.677058,20.235168,0.009472903,0.079841465,0.18317956302780483
-9.64504,-4.887207,4.7578325,14.34063,0.036807563,0.18626158,0.30956726327595396
-6.327822,4.1524835,10.480306,25.223106,0.0030039262,0.042411786,0.5433648746709553
-4.116725,4.7915273,8.908253,25.648773,0.002723471,0.037745383,0.6870019206317934
4.711543,7.4375257,2.7259827,19.644684,0.010852543,0.09046628,0.7751407446475218
1.8995178,8.609312,6.709794,24.886246,0.0032462007,0.042313814,0.8064692368551611
-5.058898,3.0403209,8.099218,18.09521,0.015505264,0.11506801,0.7013674465898944
5.8642035,16.927454,11.063251,27.300264,0.0018619739,0.029918404,0.9105441689445815
0.4348193,6.4869823,6.052163,24.67121,0.0034109806,0.04337473,0.7855483473255278
-2.7593246,7.6048355,10.364161,25.389282,0.0028911575,0.044734504,0.8194193187885371
-3.2247968,3.5498195,6.7746162,20.307484,0.009316476,0.07022894,0.42653318122097034
-2.6046908,7.0527506,9.657441,24.0143,0.003967987,0.056179583,0.8264320707056083
-5.0541162,5.541105,10.595221,25.017197,0.0031497807,0.04188505,0.713372193880644
3.765756,11.620155,7.8543997,21.668678,0.006809767,0.065241195,0.7948106614404822
0.90873307,10.08222,9.173487,25.964481,0.0025325143,0.03746916,0.8614732984575786
4.6896067,13.195905,8.506298,27.86421,0.0016352304,0.031380486,0.9409192221268196
-4.6645517,0.42212787,5.0866795,16.345922,0.023195712,0.14551707,0.6343863543952135
-0.5072234,8.373122,8.880345,23.341246,0.004633141,0.051422693,0.8070345296211979
-1.6642839,6.87329,8.537574,25.777992,0.0026436297,0.039168343,0.7451244002585817
2.7814293,9.844166,7.0627365,22.354053,0.005815602,0.0591898,0.8857008348258698
-7.467975,2.6092653,10.07724,22.495993,0.0056286054,0.06027384,0.473563549079078
2.3327801,5.262432,2.929652,20.367653,0.009188288,0.07541791,0.5499769747218304
15.761508,11.465583,-4.295925,21.448734,0.007163522,0.074631006,0.8983161678227549
1.1132287,7.226419,6.11319,27.561428,0.0017533036,0.02443123,0.8287575259831338
-0.28615397,4.5991273,4.885281,27.595175,0.0017397333,0.01767337,0.6305244138492262
0.14276949,9.639135,9.496366,28.373123,0.0014544132,0.028978964,0.883847788587592
-3.5650663,5.7102485,9.275314,24.277937,0.003734275,0.052846227,0.7668349035613934
-5.418666,-0.5062882,4.912378,15.743679,0.026646007,0.15414439,0.527622124186313
31.852516,13.770976,-18.08154,17.156101,0.019248191,0.13381109,0.946575305644065
-2.2190616,6.29658,8.515641,24.963135,0.0031892338,0.05099609,0.8216515759681359
-0.9911623,5.609011,6.6001735,26.063778,0.002475267,0.030652305,0.7098542133536706
-1.8067441,4.103208,5.909952,18.44941,0.014290886,0.11000764,0.7069642661254621
4.6330395,9.79148,5.1584406,25.362108,0.0029093046,0.040482767,0.8588567166670855
2.2866251,12.657574,10.370949,29.691017,0.0010737382,0.023875128,0.9464985602937522
-5.187381,2.920225,8.107606,22.657078,0.0054236585,0.059580375,0.6644474132555482
4.8407273,13.757706,8.916979,26.981522,0.0020037703,0.03327146,0.9292962443242714
-0.4050145,7.4195595,7.824574,22.752712,0.0053055305,0.06686675,0.8504320553935338
-3.8570402,4.5430574,8.400098,21.707706,0.006748845,0.059050776,0.6441562391151355
12.2602215,7.65689,-4.6033316,17.613377,0.017324567,0.12683305,0.7905794630543356
-7.8397136,4.1518683,11.991582,25.79975,0.00263042,0.045174234,0.684239546759875
13.950982,7.9928694,-5.9581127,17.203838,0.01903778,0.13458522,0.8417849102382909
-1.2101812,7.945073,9.155254,23.565105,0.0044003725,0.05764374,0.8627205615922392
-2.9595814,3.235753,6.1953344,18.728092,0.013402652,0.10886604,0.7096308018469524
-6.6373167,1.2466938,7.8840103,17.538332,0.017626531,0.1235677,0.6370049270687098
0.76630056,8.951195,8.184895,29.16601,0.0012117107,0.023969637,0.8869870984751097
0.12344849,7.047475,6.9240265,23.899023,0.004074718,0.051170845,0.7126750130273716
0.14156447,11.517645,11.3760805,27.572977,0.0017486475,0.03465316,0.9081338448037769
0.49485493,6.292241,5.797386,17.200974,0.019050336,0.12751009,0.850534448068524
-12.707139,-8.183897,4.523242,10.375595,0.09171504,0.2956922,0.11137357103658103
7.54241,14.622931,7.0805206,25.071407,0.003110708,0.04798943,0.9588688919982782
1.6928906,8.203629,6.510738,23.159824,0.0048307856,0.055107635,0.7532575187858535
-0.91814494,7.939799,8.857944,25.660334,0.0027162305,0.038695566,0.8055466987099861
0.4104969,8.093992,7.6834955,18.62494,0.013724795,0.102265775,0.799623606598596
-1.2136955,7.3135443,8.52724,24.291553,0.0037225848,0.057022803,0.8633722118638533
-0.9875948,5.58691,6.5745044,22.619188,0.005471183,0.061255895,0.757300408417253
-1.2534989,5.958755,7.212254,20.953066,0.008029591,0.06838232,0.6925009187123257
18.908497,11.367703,-7.5407934,13.562473,0.0440304,0.20801221,0.9038877447956895
-1.2482934,5.6481867,6.89648,25.475426,0.002834376,0.036734834,0.7268803139744109
-1.1873943,6.959818,8.147212,22.955555,0.0050634244,0.05235929,0.7290619702101456
0.37435964,7.4371314,7.062772,24.350775,0.0036721693,0.04708835,0.732571684960666
-1.0696259,7.568209,8.637835,25.891237,0.002575588,0.03757439,0.7774350029103846
-1.9249947,6.2313867,8.156382,24.555721,0.0035029019,0.0416967,0.7244403448645147
-1.7864299,5.785999,7.5724287,22.575665,0.0055262875,0.058080386,0.5949611269691173
9.168404,20.221395,11.052992,25.89687,0.0025722499,0.039849468,0.959224490049962
-2.8922346,5.6504755,8.54271,24.675396,0.0034076923,0.044498853,0.7198663742906947
0.6105716,7.482574,6.8720026,24.985867,0.0031725855,0.043785304,0.7989153591248211
0.5027344,11.2446785,10.741944,23.30717,0.004669634,0.057431247,0.9040152568114804
-0.8447851,6.8717175,7.7165027,23.497946,0.0044689486,0.056607943,0.8344058163696311
-0.70847833,5.2352767,5.943755,22.051565,0.0062351,0.058346324,0.5452760802272609
7.9387736,14.723725,6.7849517,27.128246,0.001937204,0.03709457,0.9529583188097561
4.075445,11.168242,7.0927973,27.400944,0.0018193056,0.03404056,0.9070253333453663
5.116238,12.319553,7.2033153,22.839619,0.005200417,0.06648608,0.9422053666930431
2.5922396,13.2952585,10.703019,26.779394,0.0020992332,0.037719984,0.9459048186295255
-6.6050835,3.0734932,9.678576,24.425678,0.0036093767,0.054033067,0.6875357538625224
0.92275226,9.734599,8.811847,25.208986,0.0030137096,0.044174414,0.8597398230522323
-5.338571,-1.1454451,4.1931257,14.144594,0.038507078,0.18647093,0.536386002600037
-3.9375577,3.5465362,7.4840937,22.394337,0.0057619074,0.061589427,0.6136877761706496
-4.919608,6.728082,11.64769,29.135387,0.0012202853,0.027726758,0.8083408952737511
1.7809023,8.928656,7.1477532,20.023876,0.009945176,0.089621834,0.8958617572947776
